split,unit,aliases,template_id,slice,family,size,seed,placement_jitter,canonical_config,horizon,optimal_actions,n_free_cells,betti_z2,betti_z2_sealed
tune,ChamberCount8-200,,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,200,1002,12,TG-GridWorld2D-S200-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1002,580,193,39784,1 0 0,9 8 0
tune,Chambers2-100,,TopoGym/Chambers2-100-v0,GridWorld2D,Chambers,100,1000,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j6-open-slip0-seed1000,330,107,9946,1 0 0,3 2 0
tune,Chambers2-100,,TopoGym/Chambers2-100-v0,GridWorld2D,Chambers,100,1001,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j6-open-slip0-seed1001,370,123,9946,1 0 0,3 2 0
tune,Chambers2-100,,TopoGym/Chambers2-100-v0,GridWorld2D,Chambers,100,1002,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j6-open-slip0-seed1002,340,111,9946,1 0 0,3 2 0
tune,Chambers2-200,,TopoGym/Chambers2-200-v0,GridWorld2D,Chambers,200,1000,12,TG-GridWorld2D-S200-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j12-open-slip0-seed1000,630,207,39946,1 0 0,3 2 0
tune,Chambers2-200,,TopoGym/Chambers2-200-v0,GridWorld2D,Chambers,200,1001,12,TG-GridWorld2D-S200-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j12-open-slip0-seed1001,690,227,39946,1 0 0,3 2 0
tune,Chambers2-200,,TopoGym/Chambers2-200-v0,GridWorld2D,Chambers,200,1002,12,TG-GridWorld2D-S200-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j12-open-slip0-seed1002,650,214,39946,1 0 0,3 2 0
tune,Chambers2-400,,TopoGym/Chambers2-400-v0,GridWorld2D,Chambers,400,1000,25,TG-GridWorld2D-S400-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j25-open-slip0-seed1000,1230,407,159946,1 0 0,3 2 0
tune,Chambers2-400,,TopoGym/Chambers2-400-v0,GridWorld2D,Chambers,400,1001,25,TG-GridWorld2D-S400-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j25-open-slip0-seed1001,1310,435,159946,1 0 0,3 2 0
tune,Chambers2-400,,TopoGym/Chambers2-400-v0,GridWorld2D,Chambers,400,1002,25,TG-GridWorld2D-S400-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j25-open-slip0-seed1002,1270,421,159946,1 0 0,3 2 0
tune,Chambers2-50,,TopoGym/Chambers2-50-v0,GridWorld2D,Chambers,50,1000,3,TG-GridWorld2D-S50-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j3-open-slip0-seed1000,180,57,2446,1 0 0,3 2 0
tune,Chambers2-50,,TopoGym/Chambers2-50-v0,GridWorld2D,Chambers,50,1001,3,TG-GridWorld2D-S50-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j3-open-slip0-seed1001,220,71,2446,1 0 0,3 2 0
tune,Chambers2-50,,TopoGym/Chambers2-50-v0,GridWorld2D,Chambers,50,1002,3,TG-GridWorld2D-S50-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j3-open-slip0-seed1002,180,59,2446,1 0 0,3 2 0
tune,ClownChase,,TopoGym/ClownChase-v0,Texture,ClownChase,60,1000,0,TG-Texture-ClownChase-seed1000,90,29,3465,1 3 0,2 4 0
tune,ClownChase,,TopoGym/ClownChase-v0,Texture,ClownChase,60,1001,0,TG-Texture-ClownChase-seed1001,160,51,3465,1 3 0,2 4 0
tune,ClownChase,,TopoGym/ClownChase-v0,Texture,ClownChase,60,1002,0,TG-Texture-ClownChase-seed1002,120,37,3465,1 3 0,2 4 0
tune,Decoys0-100,,TopoGym/Decoys0-50-v0,GridWorld2D,Decoys,100,1000,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1000,370,121,9973,1 0 0,2 1 0
tune,Decoys0-100,,TopoGym/Decoys0-50-v0,GridWorld2D,Decoys,100,1001,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1001,390,129,9973,1 0 0,2 1 0
tune,Decoys0-100,,TopoGym/Decoys0-50-v0,GridWorld2D,Decoys,100,1002,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1002,340,113,9973,1 0 0,2 1 0
tune,Decoys0-50,,TopoGym/Decoys0-50-v0,GridWorld2D,Decoys,50,1000,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1000,210,68,2473,1 0 0,2 1 0
tune,Decoys0-50,,TopoGym/Decoys0-50-v0,GridWorld2D,Decoys,50,1001,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1001,230,74,2473,1 0 0,2 1 0
tune,Decoys0-50,,TopoGym/Decoys0-50-v0,GridWorld2D,Decoys,50,1002,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1002,180,60,2473,1 0 0,2 1 0
tune,Decoys1-100,,TopoGym/Decoys1-50-v0,GridWorld2D,Decoys,100,1000,6,TG-GridWorld2D-S100-C1-D1-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1000,370,121,9909,1 1 0,2 2 0
tune,Decoys1-100,,TopoGym/Decoys1-50-v0,GridWorld2D,Decoys,100,1001,6,TG-GridWorld2D-S100-C1-D1-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1001,390,129,9909,1 1 0,2 2 0
tune,Decoys1-100,,TopoGym/Decoys1-50-v0,GridWorld2D,Decoys,100,1002,6,TG-GridWorld2D-S100-C1-D1-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1002,340,113,9909,1 1 0,2 2 0
tune,Decoys1-50,,TopoGym/Decoys1-50-v0,GridWorld2D,Decoys,50,1000,3,TG-GridWorld2D-S50-C1-D1-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1000,210,68,2409,1 1 0,2 2 0
tune,Decoys1-50,,TopoGym/Decoys1-50-v0,GridWorld2D,Decoys,50,1001,3,TG-GridWorld2D-S50-C1-D1-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1001,230,74,2409,1 1 0,2 2 0
tune,Decoys1-50,,TopoGym/Decoys1-50-v0,GridWorld2D,Decoys,50,1002,3,TG-GridWorld2D-S50-C1-D1-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1002,180,60,2409,1 1 0,2 2 0
tune,Decoys2-100,,TopoGym/Decoys2-50-v0,GridWorld2D,Decoys,100,1000,6,TG-GridWorld2D-S100-C1-D2-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1000,370,121,9845,1 2 0,2 3 0
tune,Decoys2-100,,TopoGym/Decoys2-50-v0,GridWorld2D,Decoys,100,1001,6,TG-GridWorld2D-S100-C1-D2-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1001,390,129,9845,1 2 0,2 3 0
tune,Decoys2-100,,TopoGym/Decoys2-50-v0,GridWorld2D,Decoys,100,1002,6,TG-GridWorld2D-S100-C1-D2-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1002,340,113,9845,1 2 0,2 3 0
tune,Decoys2-50,,TopoGym/Decoys2-50-v0,GridWorld2D,Decoys,50,1000,3,TG-GridWorld2D-S50-C1-D2-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1000,210,68,2345,1 2 0,2 3 0
tune,Decoys2-50,,TopoGym/Decoys2-50-v0,GridWorld2D,Decoys,50,1001,3,TG-GridWorld2D-S50-C1-D2-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1001,230,74,2345,1 2 0,2 3 0
tune,Decoys2-50,,TopoGym/Decoys2-50-v0,GridWorld2D,Decoys,50,1002,3,TG-GridWorld2D-S50-C1-D2-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1002,180,60,2345,1 2 0,2 3 0
tune,Decoys4-100,,TopoGym/Decoys4-50-v0,GridWorld2D,Decoys,100,1000,6,TG-GridWorld2D-S100-C1-D4-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1000,370,121,9717,1 4 0,2 5 0
tune,Decoys4-100,,TopoGym/Decoys4-50-v0,GridWorld2D,Decoys,100,1001,6,TG-GridWorld2D-S100-C1-D4-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1001,390,129,9717,1 4 0,2 5 0
tune,Decoys4-100,,TopoGym/Decoys4-50-v0,GridWorld2D,Decoys,100,1002,6,TG-GridWorld2D-S100-C1-D4-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1002,340,113,9717,1 4 0,2 5 0
tune,Decoys4-50,,TopoGym/Decoys4-50-v0,GridWorld2D,Decoys,50,1000,3,TG-GridWorld2D-S50-C1-D4-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1000,210,68,2217,1 4 0,2 5 0
tune,Decoys4-50,,TopoGym/Decoys4-50-v0,GridWorld2D,Decoys,50,1001,3,TG-GridWorld2D-S50-C1-D4-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1001,230,74,2217,1 4 0,2 5 0
tune,Decoys4-50,,TopoGym/Decoys4-50-v0,GridWorld2D,Decoys,50,1002,3,TG-GridWorld2D-S50-C1-D4-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1002,180,60,2217,1 4 0,2 5 0
tune,Decoys8-100,,TopoGym/Decoys8-50-v0,GridWorld2D,Decoys,100,1000,6,TG-GridWorld2D-S100-C1-D8-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1000,370,121,9461,1 8 0,2 9 0
tune,Decoys8-100,,TopoGym/Decoys8-50-v0,GridWorld2D,Decoys,100,1001,6,TG-GridWorld2D-S100-C1-D8-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1001,390,129,9461,1 8 0,2 9 0
tune,Decoys8-100,,TopoGym/Decoys8-50-v0,GridWorld2D,Decoys,100,1002,6,TG-GridWorld2D-S100-C1-D8-cs8-ds8-sep2-shpSq-ctr-ring-bl-j6-open-slip0-seed1002,340,113,9461,1 8 0,2 9 0
tune,Decoys8-50,,TopoGym/Decoys8-50-v0,GridWorld2D,Decoys,50,1000,3,TG-GridWorld2D-S50-C1-D8-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1000,210,68,1961,1 8 0,2 9 0
tune,Decoys8-50,,TopoGym/Decoys8-50-v0,GridWorld2D,Decoys,50,1001,3,TG-GridWorld2D-S50-C1-D8-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1001,230,74,1961,1 8 0,2 9 0
tune,Decoys8-50,,TopoGym/Decoys8-50-v0,GridWorld2D,Decoys,50,1002,3,TG-GridWorld2D-S50-C1-D8-cs8-ds8-sep2-shpSq-ctr-ring-bl-j3-open-slip0-seed1002,180,60,1961,1 8 0,2 9 0
tune,Dilution-200,,TopoGym/Dilution-200-v0,GridWorld2D,Dilution,200,1000,12,TG-GridWorld2D-S200-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-j12-open-slip0-seed1000,670,223,39973,1 0 0,2 1 0
tune,Dilution-200,,TopoGym/Dilution-200-v0,GridWorld2D,Dilution,200,1001,12,TG-GridWorld2D-S200-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-j12-open-slip0-seed1001,720,239,39973,1 0 0,2 1 0
tune,Dilution-200,,TopoGym/Dilution-200-v0,GridWorld2D,Dilution,200,1002,12,TG-GridWorld2D-S200-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-j12-open-slip0-seed1002,660,218,39973,1 0 0,2 1 0
tune,Dilution-50,ShapeSq-50,TopoGym/Dilution-50-v0,GridWorld2D,Dilution,50,1000,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-j3-open-slip0-seed1000,210,68,2473,1 0 0,2 1 0
tune,Dilution-50,ShapeSq-50,TopoGym/Dilution-50-v0,GridWorld2D,Dilution,50,1001,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-j3-open-slip0-seed1001,230,74,2473,1 0 0,2 1 0
tune,Dilution-50,ShapeSq-50,TopoGym/Dilution-50-v0,GridWorld2D,Dilution,50,1002,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-j3-open-slip0-seed1002,180,60,2473,1 0 0,2 1 0
tune,DontFall,,TopoGym/DontFall-v0,Texture,DontFall,61,1000,0,TG-Texture-DontFall-seed1000,150,48,3541,1 0 0,13 12 0
tune,DontFall,,TopoGym/DontFall-v0,Texture,DontFall,61,1001,0,TG-Texture-DontFall-seed1001,160,53,3541,1 0 0,13 12 0
tune,DontFall,,TopoGym/DontFall-v0,Texture,DontFall,61,1002,0,TG-Texture-DontFall-seed1002,120,39,3541,1 0 0,13 12 0
tune,EnvironmentalIceShip,,TopoGym/EnvironmentalIceShip-v0,Texture,EnvironmentalIceShip,50,1000,0,TG-Texture-EnvironmentalIceShip-seed1000,190,61,1312,3 4 0,6 4 0
tune,EnvironmentalIceShip,,TopoGym/EnvironmentalIceShip-v0,Texture,EnvironmentalIceShip,50,1001,0,TG-Texture-EnvironmentalIceShip-seed1001,140,44,1311,3 4 0,6 4 0
tune,EnvironmentalIceShip,,TopoGym/EnvironmentalIceShip-v0,Texture,EnvironmentalIceShip,50,1002,0,TG-Texture-EnvironmentalIceShip-seed1002,160,53,1272,3 4 0,6 4 0
tune,GiveUp1-100,,TopoGym/GiveUp1-50-v0,GridWorld2D,GiveUp,100,1000,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-cor1-ctr-bl-j6-open-slip0-seed1000,370,123,9971,1 0 0,2 1 0
tune,GiveUp1-100,,TopoGym/GiveUp1-50-v0,GridWorld2D,GiveUp,100,1001,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-cor1-ctr-bl-j6-open-slip0-seed1001,400,131,9971,1 0 0,2 1 0
tune,GiveUp1-100,,TopoGym/GiveUp1-50-v0,GridWorld2D,GiveUp,100,1002,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-cor1-ctr-bl-j6-open-slip0-seed1002,350,114,9971,1 0 0,2 1 0
tune,GiveUp1-50,,TopoGym/GiveUp1-50-v0,GridWorld2D,GiveUp,50,1000,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-cor1-ctr-bl-j3-open-slip0-seed1000,210,70,2471,1 0 0,2 1 0
tune,GiveUp1-50,,TopoGym/GiveUp1-50-v0,GridWorld2D,GiveUp,50,1001,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-cor1-ctr-bl-j3-open-slip0-seed1001,230,76,2471,1 0 0,2 1 0
tune,GiveUp1-50,,TopoGym/GiveUp1-50-v0,GridWorld2D,GiveUp,50,1002,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-cor1-ctr-bl-j3-open-slip0-seed1002,190,61,2471,1 0 0,2 1 0
tune,GiveUp2-100,,TopoGym/GiveUp2-50-v0,GridWorld2D,GiveUp,100,1000,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-cor2-ctr-bl-j6-open-slip0-seed1000,380,124,9969,1 0 0,2 1 0
tune,GiveUp2-100,,TopoGym/GiveUp2-50-v0,GridWorld2D,GiveUp,100,1001,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-cor2-ctr-bl-j6-open-slip0-seed1001,400,132,9969,1 0 0,2 1 0
tune,GiveUp2-100,,TopoGym/GiveUp2-50-v0,GridWorld2D,GiveUp,100,1002,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-cor2-ctr-bl-j6-open-slip0-seed1002,350,114,9969,1 0 0,2 1 0
tune,GiveUp2-50,,TopoGym/GiveUp2-50-v0,GridWorld2D,GiveUp,50,1000,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-cor2-ctr-bl-j3-open-slip0-seed1000,220,71,2469,1 0 0,2 1 0
tune,GiveUp2-50,,TopoGym/GiveUp2-50-v0,GridWorld2D,GiveUp,50,1001,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-cor2-ctr-bl-j3-open-slip0-seed1001,240,77,2469,1 0 0,2 1 0
tune,GiveUp2-50,,TopoGym/GiveUp2-50-v0,GridWorld2D,GiveUp,50,1002,3,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-cor2-ctr-bl-j3-open-slip0-seed1002,190,61,2469,1 0 0,2 1 0
tune,GiveUp4-100,,TopoGym/GiveUp4-50-v0,GridWorld2D,GiveUp,100,1000,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-cor4-ctr-bl-j6-open-slip0-seed1000,390,127,9965,1 0 0,2 1 0
tune,GiveUp4-100,,TopoGym/GiveUp4-50-v0,GridWorld2D,GiveUp,100,1001,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-cor4-ctr-bl-j6-open-slip0-seed1001,410,135,9965,1 0 0,2 1 0
