env_id,slice,family,canonical_config,reference_seed,size,horizon,optimal_actions,n_cells,n_free_cells,betti_z2,betti_z2_sealed,homology
TopoGym/Dilution-50-v0,GridWorld2D,Dilution,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-open-slip0-seed0,0,50,180,60,2500,2473,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/Decoys1-50-v0,GridWorld2D,Decoys,TG-GridWorld2D-S50-C1-D1-cs8-ds8-sep2-shpSq-ctr-ring-bl-open-slip0-seed0,0,50,180,60,2500,2409,1 1 0,2 2 0,H0=Z; H1=Z; H2=0
TopoGym/Decoys2-50-v0,GridWorld2D,Decoys,TG-GridWorld2D-S50-C1-D2-cs8-ds8-sep2-shpSq-ctr-ring-bl-open-slip0-seed0,0,50,180,60,2500,2345,1 2 0,2 3 0,H0=Z; H1=Z^2; H2=0
TopoGym/Decoys4-50-v0,GridWorld2D,Decoys,TG-GridWorld2D-S50-C1-D4-cs8-ds8-sep2-shpSq-ctr-ring-bl-open-slip0-seed0,0,50,180,60,2500,2217,1 4 0,2 5 0,H0=Z; H1=Z^4; H2=0
TopoGym/Decoys8-50-v0,GridWorld2D,Decoys,TG-GridWorld2D-S50-C1-D8-cs8-ds8-sep2-shpSq-ctr-ring-bl-open-slip0-seed0,0,50,180,60,2500,1961,1 8 0,2 9 0,H0=Z; H1=Z^8; H2=0
TopoGym/ShapeSq-50-v0,GridWorld2D,ShapeSq,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-open-slip0-seed0,0,50,180,60,2500,2473,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/ShapeCi-50-v0,GridWorld2D,ShapeCi,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpCi-ctr-bl-open-slip0-seed0,0,50,210,68,2500,2469,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/ShapeTr-50-v0,GridWorld2D,ShapeTr,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpTr-ctr-bl-open-slip0-seed0,0,50,210,68,2500,2459,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/ShapeSt-50-v0,GridWorld2D,ShapeSt,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSt-ctr-bl-open-slip0-seed0,0,50,240,77,2500,2457,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/Nested1-50-v0,GridWorld2D,Nested,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-nested-slip0-seed0,0,50,230,74,2500,2414,1 0 0,3 2 0,H0=Z; H1=0; H2=0
TopoGym/Nested2-50-v0,GridWorld2D,Nested,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-nested-slip0-seed0,0,50,330,108,2500,2335,1 0 0,4 3 0,H0=Z; H1=0; H2=0
TopoGym/Nested3-50-v0,GridWorld2D,Nested,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-nested-slip0-seed0,0,50,410,134,2500,2232,1 0 0,5 4 0,H0=Z; H1=0; H2=0
TopoGym/GiveUp1-50-v0,GridWorld2D,GiveUp,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-open-slip0-seed0,0,50,190,61,2500,2471,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/GiveUp2-50-v0,GridWorld2D,GiveUp,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-open-slip0-seed0,0,50,190,61,2500,2469,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/GiveUp4-50-v0,GridWorld2D,GiveUp,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-open-slip0-seed0,0,50,190,62,2500,2465,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-corridor-slip0-seed0,0,100,570,188,10000,3471,1 0 0,1 0 0,H0=Z; H1=0; H2=0
TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-corridor-slip0-seed0,0,100,610,201,10000,3486,1 0 0,1 0 0,H0=Z; H1=0; H2=0
TopoGym/Maze-50-v0,GridWorld2D,Maze,TG-GridWorld2D-S50-C0-D0-cs8-ds8-sep2-shpSq-maze-slip0-seed0,0,50,2030,674,2500,1151,1 0 0,1 0 0,H0=Z; H1=0; H2=0
TopoGym/Maze-100-v0,GridWorld2D,Maze,TG-GridWorld2D-S100-C0-D0-cs8-ds8-sep2-shpSq-maze-slip0-seed0,0,100,6760,2251,10000,4801,1 0 0,1 0 0,H0=Z; H1=0; H2=0
TopoGym/TopPlane-50-v0,Top,TopPlane,TG-Top-TopPlane-50-seed0,0,50,170,54,2500,2392,1 0 0,5 4 0,H0=Z; H1=0; H2=0
TopoGym/TopCylinder-50-v0,Top,TopCylinder,TG-Top-TopCylinder-50-seed0,0,50,170,54,2500,2392,1 1 0,5 5 0,H0=Z; H1=Z; H2=0
TopoGym/TopMobius-50-v0,Top,TopMobius,TG-Top-TopMobius-50-seed0,0,50,170,54,2500,2392,1 1 0,5 5 0,H0=Z; H1=Z; H2=0
TopoGym/TopTorus-50-v0,Top,TopTorus,TG-Top-TopTorus-50-seed0,0,50,170,54,2500,2392,1 2 1,5 5 0,H0=Z; H1=Z^2; H2=Z
TopoGym/TopKlein-50-v0,Top,TopKlein,TG-Top-TopKlein-50-seed0,0,50,170,54,2500,2392,1 2 1,5 5 0,H0=Z; H1=Z + Z/2; H2=0
TopoGym/TopRP2-50-v0,Top,TopRP,TG-Top-TopRP2-50-seed0,0,50,170,54,2500,2392,1 1 1,5 4 0,H0=Z; H1=Z/2; H2=0
TopoGym/IceShip-v0,Texture,IceShip,TG-Texture-IceShip-seed0,0,50,190,62,2500,1241,3 4 0,6 4 0,H0=Z^3; H1=Z^4; H2=0
TopoGym/Ladders-v0,Texture,Ladders,TG-Texture-Ladders-seed0,0,50,390,129,2500,996,1 0 0,1 0 0,H0=Z; H1=0; H2=0
TopoGym/BankRobber-v0,Texture,BankRobber,TG-Texture-BankRobber-seed0,0,50,440,146,2500,2216,1 0 0,5 4 0,H0=Z; H1=0; H2=0
TopoGym/DontFall-v0,Texture,DontFall,TG-Texture-DontFall-seed0,0,61,160,53,3721,3541,1 0 0,13 12 0,H0=Z; H1=Z^12; H2=0
TopoGym/SpaceWarp-v0,Texture,SpaceWarp,TG-Texture-SpaceWarp-seed0,0,50,70,22,2500,2391,2 1 0,5 4 0,H0=Z^2; H1=Z^4; H2=0
TopoGym/ClownChase-v0,Texture,ClownChase,TG-Texture-ClownChase-seed0,0,60,130,42,3600,3465,1 3 0,2 4 0,H0=Z; H1=Z^3; H2=0
TopoGym/SearchRescue-v0,Texture,SearchRescue,TG-Texture-SearchRescue-seed0,0,61,260,86,3721,2610,1 160 0,2 161 0,H0=Z; H1=Z^160; H2=0
TopoGym/EnvironmentalIceShip-v0,Texture,EnvironmentalIceShip,TG-Texture-EnvironmentalIceShip-seed0,0,50,190,62,2500,1241,3 4 0,6 4 0,H0=Z^3; H1=Z^4; H2=0
